Станция;Пассажиропоток;Линия
Арбатско-Покровская линия:;;
Арбатская;59,5;Арбатско-Покровская
Бауманская;65,6;Арбатско-Покровская
Измайловская;40,3;Арбатско-Покровская
Измайловский парк;55,9;Арбатско-Покровская
Киевская;57,3;Арбатско-Покровская
Курская;20,2;Арбатско-Покровская
Первомайская;63,0;Арбатско-Покровская
Площадь Революции;96,3;Арбатско-Покровская
Семеновская;51,8;Арбатско-Покровская
Смоленская;55,1;Арбатско-Покровская
Щелковская;124,2;Арбатско-Покровская
Электрозаводская;54,0;Арбатско-Покровская
Итого:;743,2;Арбатско-Покровская
Замоскворецкая линия:;;
Автозаводская;60,7;Замоскворецкая
Аэропорт;63,6;Замоскворецкая
Белорусская;58,7;Замоскворецкая
Варшавская;47,4;Замоскворецкая
Водный стадион;54,0;Замоскворецкая
Войковская;93,2;Замоскворецкая
Динамо;68,6;Замоскворецкая
Домодедовская;86,8;Замоскворецкая
Кантемировская;65,5;Замоскворецкая
Каховская;52,5;Замоскворецкая
Каширская;62,1;Замоскворецкая
Каширская;16,9;Замоскворецкая
Коломенская;97,9;Замоскворецкая
Красногвардейская;78,3;Замоскворецкая
Маяковская;60,0;Замоскворецкая
Новокузнецкая;67,9;Замоскворецкая
Орехово;35,2;Замоскворецкая
Павелецкая;60,9;Замоскворецкая
Речной вокзал;121,2;Замоскворецкая
Сокол;82,7;Замоскворецкая
Тверская;72,9;Замоскворецкая
Театральная;96,3;Замоскворецкая
Царицыно;96,4;Замоскворецкая
Итого:;1599,7;Замоскворецкая
Калининская линия:;;
Авиамоторная;58,7;Калининская
Марксистская;40,2;Калининская
Новогиреево;114,0;Калининская
Перово;53,8;Калининская
Площадь Ильича;44,7;Калининская
Третьяковская;67,9;Калининская
Шоссе Энтузиастов;40,3;Калининская
Итого:;419,8;Калининская
Калужско-рижская линия:;;
Академическая;62,0;Калужско-рижская
Алексеевская;65,4;Калужско-рижская
Бабушкинская;88,3;Калужско-рижская
Беляево;56,4;Калужско-рижская
Битцевский парк;18,3;Калужско-рижская
Ботанический сад;30,1;Калужско-рижская
ВДНХ;133,9;Калужско-рижская
Калужская;57,1;Калужско-рижская
Китай-город;51,3;Калужско-рижская
Коньково;64,5;Калужско-рижская
Ленинский проспект;71,3;Калужско-рижская
Медведково;83,6;Калужско-рижская
Новые Черемушки;53,8;Калужско-рижская
Октябрьская;31,4;Калужско-рижская
Проспект Мира;37,7;Калужско-рижская
Профсоюзная;70,8;Калужско-рижская
Рижская;50,0;Калужско-рижская
Свиблово;48,3;Калужско-рижская
Сухаревская;36,9;Калужско-рижская
Теплый Стан;79,2;Калужско-рижская
Третьяковская;67,9;Калужско-рижская
Тургеневская;40,8;Калужско-рижская
Шаболовская;44,9;Калужско-рижская
Ясенево;70,3;Калужско-рижская
Итого:;1414,1;Калужско-рижская
Кольцевая линия:;;
Белорусская;73,0;Кольцевая
Добрынинская;37,7;Кольцевая
Киевская;89,7;Кольцевая
Комсомольская;187,1;Кольцевая
Краснопресненская;38,8;Кольцевая
Курская;78,7;Кольцевая
Новослободская;58,4;Кольцевая
Октябрьская;58,1;Кольцевая
Павелецкая;39,2;Кольцевая
Парк Культуры;82,9;Кольцевая
Проспект Мира;52,2;Кольцевая
Таганская;53,3;Кольцевая
Итого:;849,2;Кольцевая
Люблинская:;;
Братиславская;10,4;Люблинская
Волжская;20,9;Люблинская
Дубровка;14,3;Люблинская
Кожуховская;24,1;Люблинская
Крестьянская застава;10,7;Люблинская
Люблино;28,3;Люблинская
Марьино;53,8;Люблинская
Печатники;22,7;Люблинская
Римская;9,3;Люблинская
Чкаловская;47,7;Люблинская
Итого:;242,2;Люблинская
Серпуховско-Тимирязевская линия:;;
Алтуфьево;71,8;Серпуховско-Тимирязевская
Бибирево;57,7;Серпуховско-Тимирязевская
Боровицкая;14,1;Серпуховско-Тимирязевская
Владыкино;31,2;Серпуховско-Тимирязевская
Дмитровская;40,3;Серпуховско-Тимирязевская
Менделеевская;24,3;Серпуховско-Тимирязевская
Нагатинская;53,7;Серпуховско-Тимирязевская
Нагорная;17,9;Серпуховско-Тимирязевская
Нахимовский проспект;32,6;Серпуховско-Тимирязевская
Отрадное;92,1;Серпуховско-Тимирязевская
